"id","make","model","vin","year","serialNum"
"30449973","Kenworth","T680","1XKYDP9XXLJ360766","2020","87B011100019"
"30449985","Peterbilt","579","1XPBDP9X6PD879401","2023","87B011100011"
"30449986","Peterbilt","579","1XPBDP9X4PD879400","2023","87B011100078"
"30449987","KENWORTH","T680","1XKYDP9X0MJ449876","2021","87B011100076"
"30449990","Peterbilt","579","1XPBDP9X3LD638566","2020","87A032280233"
"33022711","Kenworth",,"1XKYDP9X7HJ145790",NULL,"87B031220318"
"33022714","Peterbilt",,"1XPBD49X8LD640215","2020","87A032060263"
"33022715","Peterbilt",,"1XPBDP9X6LD640425","2020","87A032060079"
"33022720","KENWORTH",,"1XKYD49X1GJ478161","2016","87A032490060"
"33870953","PTRB",,"1XP4D49X7DD181768","2013","87B031720091"
"34814758",,,"1XKYD49X3HJ157062",NULL,"87B031700164"
"34814760","Peterbilt","579","1XPBD49X8KD608833","2019","87B011040319"
"34814761","Peterbilt",,"1XPBD49X9KD608842","2019","87B011040396"
"34814765","kw","T680","1XKYDP9X4HJ151269","2017","87B010390369"
"34814775","Kenworth","T680","1XKYDP9X8PJ236985","2023","87A032490012"
"34814777","KENWORTH","T680","1XKYDP9X2HJ149486","2017","87B010390374"
"34814778",,,"1XPBDP9X7HD361055",NULL,"4C4000037535"
"36967808","Peterbilt",,"1NP5DB9X77N657633","2007","87B010400209"
"36967810","Kenworth",,"1XKYD49X8HJ147448","2017","87A032060288"
"36967848","Kenworth","T680","1XKYDP9X4NJ102746","2022","87B013150140"
"39575309","KW","TT","1XKYDP9XXLJ348293","2020","87A032280300"
"40241312",,,"1XKYDP9X4FJ470927","2019","87B013410815"
"41722702","KW","TT","1XKYDP9X7LJ348266","2020","87A032710110"
"41722711","kw",,"1XKYD49X4LJ357537","2020","87A031720011"
"42742903","Kenworth",,"1XKYDP9X7NJ140987","2022","87A032060240"
"42742912",,,"1XKYD49X0HJ159772",NULL,"87B031220367"
"42742913","Kenworth","T680","1XKYD48X4HJ165074","2017","87A032280273"
"42742921","Kenworth","T680","1XKYDP9X1HJ145803","2017","87A101770194"
"42742922","Kenworth","T680","1XKYDP9X4HJ126999","2017","87A111590088"
"42742932","PTRB","Tractor","1XPBDP9X4LD669342","2020","87B010690475"
"42742936",,"Petrbuild","1XPBD48X6FD247285",NULL,"87B112240191"
"42742937","KW","TT","1XKYDP9X0LJ348318","2020","87B013410979"
"45071603",,,"1XP4D49X9DD192853",NULL,"87A032060214"
"45071607",,,"1XPBD48X8ED247383",NULL,"87B010130100"
"45313702",,,"1XPBDP9X4HD418957",NULL,"87A032790059"
"45313703","PETEREBILT",,"1XPBDP9X8LD669358","2020","87A032060177"
"45774405","Kenworth","T680","1XKYDP9X8LJ348311","2020","87B030600131"
"45774406","Kenworth",,"1XK1D49X4MJ440887","2020","88B112080250"
"45774409",,,"1XKYD49XXKJ242262",NULL,"88B112080248"
"45774414","KENWORTH",,"1XKYD49X6HJ166242","2017","87A032710279"
"45774416","Kw","T680","1XKYDP9X3LJ348314","2020","87A032790177"
"45774418",,,"1XKYDP9X2LJ400953",NULL,"87B031220208"
"45774424","Kenworth",,"1XKYDP9X6LJ348260","2020","87A032710282"
"47358215","Kenworth",,"1XKYDP9X0LJ348190","2020","87A032710276"
"48202511",,"Kenworth","1XKYDP9X6LJ307725","2020","87A032710050"
"48202543",,,"1XKYDP9X8JJ197371",NULL,"87A013570046"
"48202549","Peterbilt","579","1XPBDP9X9KD600810","2019","87A032060106"
"48202551","KW","T680","1XKYDP9X1NJ172642","2022","4C4000038314"
"49516452","KW","T680","1XKYDP9X9NJ172646","2022","4C4000037656"
"49516455",,,"1XPBD49X4FD289176",NULL,"87A032790130"
"49516461","KENW",,"1XKWP49XXMR433876","2021","87A032790011"
